season,episode_number,title,airdate,rating,total_votes,desc
15,11,Pathway to Autumn,7/6/1988,,6,"The splendor of fall is produced by Bob Ross' red, orange and brown grasses and foliage, softly complimenting a rugged little shed."
15,12,Deep Forest Lake,7/13/1988,,6,A dark mere almost completely shielded from the sunlight by a thick growth of soft leafy trees is Bob Ross' lovely painting today.
15,13,Peaks of Majesty,7/20/1988,9.6,6,Bob Ross paints a still lake that captures the reflection of some trees as a range of rugged mountains stand guard in the background.
16,1,Two Seasons,8/17/1988,,6,Take a little walk with Bob Ross as he shows you how to create the same mountain landscape setting in both summer and winter!
16,2,Nestled Cabin,8/24/1988,8.8,6,"Out of nowhere appears an unexpected find -- a weathered cottage in the deep forest that Bob Ross places there, in an already perfect setting."
16,3,Wintertime Discovery,8/31/1988,,6,"Imagine stumbling upon this little surprise cabin and shed, nestled in the snow drifts! Bob Ross shows you how easy it is to paint."
16,4,Mountain Mirage,9/7/1988,8.6,6,Real or imaginary? It doesn't matter which as Bob Ross captures a great mountain and forest scene on specially cut plywood!
16,5,Double Oval Fantasy,9/14/1988,,6,Bob Ross shows you how two beautiful mountain and evergreen oval scenes can be harmonized into one memorable masterpiece.
16,6,Contemplative Lady,9/21/1988,7,6,Guest artist John Thamm easily creates a realistic face and head form on a shellacked surface with just a few intriguing strokes.
16,7,Deep Woods,9/28/1988,8.2,6,"Bob Ross creates a breathtaking, misty wooded scene with tiny trickling creek that's fast and easy to recreate."
16,8,High Tide,10/5/1988,,6,"Bob Ross' gentle brush strokes create bending palm trees on the edge of a sea coast, just before the water reaches its high point."
16,9,Barn in Snow Oval,10/12/1988,,6,"You'll love this super big snow-bundled country structure by Bob Ross - it's in an oval, and watch for a little surprise too!"
16,10,That Time of Year,10/19/1988,,6,"Steve Ross captures a real 'dreamscape' on canvas -- soft rolling hills, birch trees and pretty lake; paint along and add your own touches."
16,11,Waterfall Wonder,10/26/1988,8.6,6,"One of nature's perfect creations -- the misty, splashing waterfall -- is painted by Bob Ross, in all its magnificent splendor."
16,12,Mighty Mountain Lake,11/2/1988,8.6,6,See the amazing glacier-like peaks Bob Ross creates in this icy panorama; grab your painting knife and do this one too.
16,13,Wooded Stream Oval,11/9/1988,9.2,6,"Watch and learn as Bob Ross unfolds this beautifully soft wooded scene with gently rippling brook, all inside an oval shape."
17,1,Golden Mist Oval,1/4/1989,8.8,6,Bob Ross creates an oval scene with warm brown and gold tones that captures the essence of a lonely forest river.
17,2,The Old Home Place,1/11/1989,,6,"Travel with Bob Ross along the country back roads as he paints a quiet little home on a meadow with a beautiful, serene sky."
17,3,Soothing Vista,1/18/1989,,6,"Surround yourself with this gorgeous Bob Ross painting; there's plenty of thick, velvety green grass, trees and foliage to just lose yourself in!"
17,4,Stormy Seas,1/25/1989,8.3,6,Such magnificent power and vibrant color in the sea and sky! Watch Bob Ross as he tries to tame this beautiful ocean painting.
17,5,Country Time,2/1/1989,,6,"Looking back to those 'days of old', Bob Ross paints a delightful little fishing village with luscious leafy trees in an oval."
17,6,A Mild Winter's Day,2/8/1989,,6,"Winter scenes don't have to be cold! With a touch of the sun's warmth, Bob Ross turns the chill of winter into a golden day."
17,7,Spectular Waterfall,2/15/1989,,6,Grandest of mountains overlooking an incredibly breathtaking waterfall ... a Bob Ross painting you must see to believe!
17,8,View from the Park,2/22/1989,,6,"A tribute to all Bob Ross friends in New York City, this painting is simply full of exciting cut-out shapes and surprises!"
17,9,Lake View,3/1/1989,,6,"For as far as the eye can see -- beautiful rolling hills, birch trees and soft watery reflections; undoubtedly guest artist Steve Ross at his finest."
17,10,Old Country Mill,3/8/1989,7.7,7,Rich colors and abundant softness make this such a beautiful Bob Ross painting; detailed mill and waterwheel make it special.
17,11,Morning Walk,3/15/1989,8.4,7,Haven't you always imagined walking through one of Bob Ross' beautiful landscape paintings? Watch as he makes a dream come true!
17,12,Nature's Speldor,3/22/1989,8.8,7,"Bob Ross paints the very best of nature -- stately evergreens and cool, still waters standing before a glorious brown mountain. A real beauty!"
17,13,Mountain Beauty,3/29/1989,,7,"Guest artist Dana Jester creates a Bob Ross-style mountain scene with dignified foothills and evergreens, and super vibrant bushes."
18,1,Half-Oval Vignette,7/5/1989,8.2,7,"Bob Ross illustrates the illusion of infinity as mountain and water fade into the distance, created in a lovely half-oval painting."
18,2,Absolutely Autumn,7/12/1989,8.2,7,"Rich, soft colors prove that fall has arrived! Join Bob Ross as he paints a quiet pond and surrounding foliage preparing themselves for a season of slumber."
18,3,Mountain Seclusion,7/19/1989,8.8,7,Travel to a lonely hidden cabin in the frozen mountainous north country with Bob Ross -- another black canvas masterpiece to fall in love with.
18,4,Crimson Oval,7/26/1989,,7,"Shades of luscious red, lavender and gold surround a bubbling brook flowing through a serene oval painting by television's favorite painter Bob Ross."
18,5,Autumn Expidition,8/2/1989,,7,Enjoy a casual stroll down the pathway overlooking a quiet pond and breathe in the cool crisp fall air! Bob Ross takes you through this magnificent season.
18,6,Majestic Peaks,8/9/1989,8.7,7,Join Bob Ross as he paints some of Nature's most awesome creations - magnificent snow-covered mountains! Beauty you just have to experience.
18,7,Golden Morning Mist,8/16/1989,8.8,7,Stroll into the quiet stillness of early daybreak with Bob Ross as he captures the essence of a sun shrouded forest on canvas.
18,8,Winter Lace,8/23/1989,7.7,6,Snow-covered trees and shrubs appear to be dressed in finest lace among the soft glows of winter. A unique Bob Ross painting!
18,9,Seascape Fantasy,8/30/1989,8.6,6,Such magnificence in sky and sea! Watch the creative brushes of Bob Ross as he paints an ocean view of incredible beauty.
18,10,Double Oval Stream,9/6/1989,8.5,6,"Bob Ross creates a gentle brook flowing from one oval to another, under the protective branches and foliage of stately birch trees."
18,11,Enchanted Forest,9/13/1989,8.8,6,Enjoy this fascinating experience of watching Bob Ross bring these deep dark woods alive; incredible magic on a partial black canvas.
18,12,Southwest Serenity,9/20/1989,8.6,6,Drink in the astonishing beauty of a spectacular desert as you ride down a well traveled road with the amazing brushes of Bob Ross.
18,13,Rippling Waters,9/27/1989,,6,A gentle bubbling stream in the midst of the forest - Bob Ross invites you to share the serenity of Nature's escape with this delightful painting.
19,1,Snowfall Magic,1/3/1990,8.5,6,Experience the mystique of snowflakes gently tumbling in the silence of the forest. Join Bob Ross for this lovely winter masterpiece!
19,2,Quiet Mountain Lake,1/10/1990,8.8,6,Relax with Bob Ross as the perfect picnic spot emerges from his paint filled brushes - quiet peaks on a tranquil lake and luscious green velvety grass.
19,3,Final Embers of Sunlight,1/17/1990,,6,"Travel with Bob Ross into an evening display of glowing, magnificent setting sun. Another unique oval painting you'll have to see."
19,4,Snowy Morn,1/24/1990,8.6,6,Join Bob Ross at an old log cabin nestled deep in the powdery woods! An intriguing yet simple painting just beckoning you to paint it yourself.
19,5,Camper's Haven,1/31/1990,,6,"Warm skies, pleasant valley and purple misty mountains - the perfect place to pitch your tent and enjoy the view with painter Bob Ross."
19,6,Waterfall in the Woods,2/7/1990,9,6,Drink in the breathtaking beauty of spectacular cascades deep in the timberland. Bob Ross invites you create this astonishing scenic display.
19,7,Covered Bridge Oval,2/14/1990,,6,Cross a frozen stream under the shelter of a grand covered bridge and enjoy the tranquility of a beautiful Bob Ross winter's day.
19,8,Scenic Seclusion,2/21/1990,8.4,6,Enjoy the warmth of the day in that quiet spot beside the rippling stream and gentle breezes - Bob Ross creates a painting so vibrant and real.
19,9,Ebb Tide,2/28/1990,9,6,"Bob paints the tide heading out to see at sunset, complete with rolling waves and a gorgeous sky."
19,10,After the Rain,3/7/1990,8.4,6,"Take a pleasant walk through the forest with Bob Ross and breathe in that crisp, rain-freshened air - but be careful of those puddles!"
19,11,Winter Elegance,3/14/1990,,6,"Even a cold, frozen snowy afternoon can be displayed with signs of astonishing beauty, as portrayed by Bob Ross in this lovely yet simple scene."
19,12,Evening's Peace,3/21/1990,8.3,6,Come along with Bob Ross as he creates a winter moon hanging over a snow covered farm nestled among the trees - all on black canvas.
19,13,Valley of Tranquility,3/28/1990,8.8,6,"Towering mountains protect a lovely green river land, where gentle waters flow and silent breezes blow - another Bob Ross masterpiece to cherish."
20,1,Mystic Mountain,4/4/1990,8.5,13,Bob paints a majestic mountain peak surrounded by trees and blue skies.
20,2,New Day's Dawn,4/11/1990,9,9,Lovely soft colors flow from the magnificent brushes of Bob Ross in this lovely warm winter painting - don't miss seeing this pretty scene unfold.
20,3,Pastel Winter,4/18/1990,9.4,15,Lovely soft colors flow from the magnificent brushes of Bob Ross in this lovely warm winter painting - don't miss seeing this pretty scene unfold.
20,4,Hazy Day,4/25/1990,8.6,8,"Pick up your brushes and paint along with Bob Ross - he creates a beautiful, rocky stream gently rippling through the forest mist in an oval."
20,5,Divine Elegance,5/2/1990,8.4,7,Bob Ross creates a spectacular mountain scene in a faux matte; a real masterpiece cleverly framed in an intriguing new idea.
20,6,Cliffside,5/9/1990,8.2,28,"Under the most glorious of skies, enjoy the rhythmic flow of deep sea waters crashing and splashing upon the surrounding rocks and cliffs - Bob Ross style."
20,7,Autumn Fantasy,5/16/1990,8.5,8,"A painting to reflect the essence of fall, bursting forth in a profusion of brilliant colors as Bob Ross creates a haven of tranquility on canvas."
20,8,The Old Oak Tree,5/23/1990,8.1,9,"Join Bob Ross today as he paints a huge, single stately oak, just on the edge of the forest, its spreading branches and foliage providing comfort and shelter."
20,9,Winter Paradise,5/30/1990,8.5,8,"Bob Ross creates a spectacular warm winter painting where snow-covered mountains, trees and bushes lend an alluring sense of beauty in an oval."
20,10,Days Gone By,6/6/1990,7.6,8,Travel down an abandoned road with Bob Ross and stumble upon an old weathered barn that has seen better days - what dreams are made of.
20,11,Change of Seasons,6/13/1990,8.4,8,"Colors transforming, cool breezes and rushing waters - Bob Ross lets his paint brushes do all the talking in the magnificent mountain scene."
20,12,Hidden Delight,6/20/1990,8.6,8,"Happen upon this sweet cabin in the woods; Bob Ross paints a time-forgotten treasure that comes to life in a soft, warm landscape scene."
20,13,Double Take,6/27/1990,8.9,14,Bob Ross presents a really unique idea using black gesso -- two lovely paintings in one -- summer and winter scenes overlapping on the same canvas.
21,1,Valley View,9/5/1990,9,12,This beautiful lake in the glen will leave you fully rested and at peace with the world; Bob Ross creates a quiet mountain masterpiece.
21,2,Tranquil Dawn,9/12/1990,8,9,"Join Bob Ross on a warm winter morning, the surroundings still undisturbed by Nature's little creatures; enjoy the freshness of a new day not yet awake."
21,3,Royal Majesty,9/19/1990,8.4,7,"Travel with Bob Ross to a secluded waterfall deep in the mountains, standing tall and proud. This magnificent scene instills comfort and joy."
21,4,Serenity,9/26/1990,8.4,9,Breaking the silence of a misty morning is a rippling brook through the forest. Join Bob Ross as he takes you to this favorite escape.
21,5,Cabin at Trail's End,10/3/1990,8.1,8,Take a leisurely hike down a weathered pathway with Bob Ross and happen upon an old cabin; create a beautiful oval painting you can be proud of.
21,6,Mountain Rhapsody,10/10/1990,8.3,9,Experience the blissful pleasure of the coldest season under a splendid pastel sky with Bob Ross; enjoy this fabulous mountain masterpiece.
21,7,Wilderness Cabin,10/17/1990,8.2,16,Paint along with Bob Ross and discover the beauty of a secluded log home with only quiet pond and rustic trees for companionship.
21,8,By the Sea,10/24/1990,9.4,16,Come visit the coast with Bob Ross and paint a glorious ocean-scape; enjoy the solitude and gentle rhythm of the waves caressing the shoreline.
21,9,Indian Summer,10/31/1990,,16,Paint along with Bob Ross and discover what autumn beauty unfolds as those exotic orange and gold colors appear on canvas.
21,10,Blue Winter,11/7/1990,8.9,8,"Travel with Bob Ross to the middle of winter, where shades of indigo create the stark reality of the season. You'd better bundle up for this one!"
21,11,Desert Glow,11/14/1990,8.4,8,Follow along with Bob Ross as he takes you into the incredible beauty of the dry lands. A unique oval painting for beginners and accomplished artists as well.
21,12,Lone Mountain,11/21/1990,8.8,6,Travel with Bob Ross and enjoy a spectacular view -- this painting presents a fabulous lesson in creating rugged and rocky natural surfaces.
21,13,Florida's Glory,11/28/1990,8.6,6,"Bob Ross presents an intriguing painting with an outline of the 'sunshine state', and then creates a lovely beach setting within the borders."
22,1,Autumn Images,1/1/1991,8.8,6,Feel the crisp coolness of autumn air and the beauty of changing colors with Bob Ross.
22,2,Hint of Springtime,1/8/1991,,6,Melting snow from the mountains creates a rushing flow of water into a valley just awakening for spring. Feel the crisp new season with Bob Ross.
22,3,Around the Bend,1/15/1991,,6,Join Bob Ross on a painting excursion along this beautiful scenic river - who knows what abundance of nature's wealth lies beyond!
22,4,Countryside Oval,1/22/1991,8.3,6,"Travel with Bob Ross to a picturesque spot in the meadow and delight in the discovery of not one, but two serene fishing holes."
22,5,Russet Winter,1/29/1991,8.3,7,The first snowfall just beyond autumn signals the true beginning of winter -- join Bob Ross as he discovers just such a glorious moment.
22,6,Purple Haze,2/5/1991,,7,"Catch a glimpse of the sun trying to break through shades of soft crimson, shining its golden touch upon the land. Bob Ross creates another black canvas beauty today."
22,7,Dimensions,2/12/1991,8.1,10,Bob Ross creates a fantastic and truly unique geometric illusion of depth in today's lovely vision of pastel mountain magic.
22,8,Deep Wilderness Home,2/19/1991,8.4,11,"Bob Ross takes you far into the untouched forest to discover an old country home on a cliff, completely hidden by surrounding foliage."
22,9,Haven in the Valley,2/26/1991,8.2,8,"Imagine the peace and serenity of a home in the hollow, sheltered from the snow-covered mountains beyond! Travel with Bob Ross to just such a place."
22,10,Wintertime Blues,3/5/1991,7.9,10,Bundle up with artist Bob Ross and peer into the north country in the midst of winter; experience a vision in the coldest of azure tones.
22,11,Pastel Seascape,3/12/1991,7.8,11,Feast your eyes on this colorful Bob Ross display of nature's exciting seashore panarama ... beautifully tucked within an oval.
22,12,Country Creek,3/19/1991,8,8,Team up with Bob Ross and travel back to the days of swimming in that lovely secluded river bend; bring back memories of a forgotten time.
22,13,Silent Forest,3/26/1991,8.5,11,Take a leisurely stroll with Bob Ross and gather your thoughts in the quiet misty woodlands; this lovely masterpiece is a great lesson in using the knife.
23,1,Frosty Winter Morn,9/3/1991,7.9,9,"Soft, serene and near silent, this Bob Ross painting is simple and elegant, with just a lone cabin nestled comfortably into pillows of snow"
23,2,Forest Edge,9/10/1991,8.2,10,"Bob Ross transforms a zany looking canvas into a gorgeous, soft wooded scene with radiant sun glowing over opulent trees and bushes."
23,3,Mountain Ridge Lake,9/17/1991,8.8,8,Powerful mountains softened with grassy meadows and little evergreens framing a nice shiny mere - this is a lovely Bob Ross masterpiece.
23,4,Reflections of Gold,9/24/1991,8,10,Magnificent jewels in an oval - this Bob Ross painting highlights countless numbers of colors in nature's sky and foliage.
23,5,Quiet Cove,10/1/1991,8.4,10,"Elegant mountain lake, silent and still, reflecting the natural beauty of leafy trees and grasses all around - a pretty Bob Ross creation."
23,6,River's Peace,10/8/1991,,10,"Autumn is the threshold to winter, but still with glorious color and warmth in Bob Ross' trees, sky and buttery ground cover."
23,7,At Dawn's Light,10/15/1991,8.6,11,"A real viewer favorite! With silky shades pink, mauve and lilac, Bob Ross completes an amazing birch tree landscape."
23,8,Valley Waterfall,10/22/1991,,11,"A regal vista on canvas, Bob Ross paints incredible mountains and waterfall enclosed by proud evergreens and mossy cliffs."
23,9,Toward Day's End,10/29/1991,8.6,11,"Even the oval in this delightful Bob Ross cabin-by-the-river painting cannot contain all the succulent, glorious foliage!"
23,10,Falls in the Glen,11/5/1991,,11,"A partially blackened canvas is all you need to start creating this dark, mood-filled misty waterfall scene with artist Bob Ross."
23,11,Frozen Beauty in Vignette,11/12/1991,7.5,8,"A truly graceful scene, as if floating in air -- icy pond and weather-worn cabin -- is today's Bob Ross winter landscape."
23,12,Crimson Tide,11/19/1991,7.2,11,"Bob Ross paints a breathtakingly beautiful seascape on black canvas today, complete with fierce skies, jagged cliff and raging ocean waves."
23,13,Winter Bliss,11/26/1991,7.9,10,"A different kind of oval today! - Bob Ross paints a pretty, panoramic cold mountain lake scene inside this fun frame."
24,1,Gray Mountain,1/7/1992,9.5,6,"Bob Ross teams up with Mother Nature and paints an incredibly awesome sky hovering over fantastic, snow-covered mountains and glass-like reflections."
24,2,Wayside Pond,1/14/1992,8.7,7,In a densely covered spot hidden far from the nearest roadway lies a softly nestled quiet little pond; Bob Ross invites you to take a peek.
24,3,Teton Winter,1/21/1992,9.2,10,"A visit with Bob Ross takes you to a secluded cabin, snuggled deep into the blankety drifts of fluffy snow, far into the frozen mountains."
24,4,Little Home in the Meadow,1/28/1992,,10,"Bob Ross employs some of his well-known oval magic to paint a lovely cabin scene situated in a serene, soft little rolling pasture."
24,5,A Pretty Autumn Day,2/4/1992,8.2,10,"Bob Ross spills an amazing cornucopia of red, brown, green and gold colors into this gorgeous fall mountain masterpiece - a real audience favorite."
24,6,Mirrored Images,2/11/1992,8.2,6,"Join Bob Ross on a clear windless day, where reflections are so smooth they appear to be crystal likenesses of the mountains above."
24,7,Back-Country Path,2/18/1992,,6,Bob Ross takes a detour from the trail and discovers a rarely used trail through country woods.
24,8,Graceful Waterfall,2/25/1992,8.4,6,Travel deep into the forest with Bob Ross and discover the beauty and serenity of an elegant waterfall.
24,9,Icy Lake,3/3/1992,8.4,9,"Paint along with Steve Ross as he creates a lovely oval painting, a winter landscape surrounding a frozen lake."
24,10,Rowboat on the Beach,3/10/1992,,9,It's such a tranquil day down at the beach! Join Bob Ross as he paints a lovely little rowboat that awaits its owner's return.
24,11,Portrait of Winter,3/17/1992,8.1,7,Bundle up with Bob Ross and visit the north in the middle of winter! Snow and ice abound in a profusion of beauty.
24,12,The Footbridge,3/24/1992,,7,Stroll down to the river and cast your line with Bob Ross from the bridge - join in the fun and paint this masterpiece.
24,13,Snowbound Cabin,3/31/1992,7.9,8,"Bob Ross takes us to an isolated cabin deep in the woods on a cold, snowy winter day."
25,1,Hide-a-Way Cove,8/25/1992,,8,"Take a stroll with Bob Ross, down to that perfect little fishing spot tucked away from the world, and relish the beauty of the day!"
25,2,Enchanted Falls Oval,9/1/1992,,8,Create this extraordinary waterfall with Bob Ross and capture its intriguing magic in a painting you'll be proud to display anywhere.
25,3,Not Quite Spring,9/8/1992,8.7,11,"The trees have shed their snow and ice has begun to thaw, Spring will arrive soon in the incredibly beautiful Bob Ross landscape."
25,4,Splashes of Autumn,9/15/1992,,11,"Bob Ross creates a beautiful golden warm waterfall scene, employing a lovely almost watercolor-looking effect. Come join in the fun!"
25,5,Summer in the Mountains,9/22/1992,,11,"Watch guest artist Steve Ross paint an incredibly beautiful, bright and happy mountain scene with fabulous evergreens and foothills."
25,6,Oriental Falls,9/29/1992,9,7,"In an almost watercolor appearance, Bob Ross paints this amazing secluded waterfall masterpiece with interesting tree and rock formations."
25,7,Autumn Palette,10/6/1992,,7,"Venture down a well-traveled pathway with Bob Ross, into this gorgeous Autumn landscape of glorious colors, weather worn fence and trees."
25,8,Cypress Swamp,10/13/1992,8.4,9,Hidden far from the highways of the South are lovely wetlands teaming with moss-clad trees and birds; Bob Ross shares a rare glimpse of beauty!
25,9,Downstream View,10/20/1992,,9,"From a quiet spot by this smooth-stoned river, join Bob Ross for a very, very distant view of a lovely snow-covered mountain."
25,10,Just Before the Storm,10/27/1992,9.4,9,Bob Ross creates a moment in time as the sea finds itself in one of nature's sudden cloudbursts; experience another oval masterpiece!
25,11,Fisherman's Paradise,11/3/1992,9,9,"In the golden glow of sunrise, join Bob Ross for a refreshing look at early morning where anglers work and thrive - all inside an uniquely framed painting."
25,12,Desert Hues,11/10/1992,8.4,7,"Dry mountains, spiny shrubs and cacti, take a drive deep into the desert with Bob Ross and enjoy this fantastic oval surprise!"
25,13,The Property Line,11/17/1992,7.4,9,Bob Ross paints an old gnarly tree and snow-capped fence to mark the line between home and the edge of the winter blanketed forest.
26,1,In the Stillness of the Morning,12/1/1992,9,9,Take a walk with Bob Ross and experience the quiet motionless beauty of a glassy river as the morning fog hangs onto the distant shore.
26,2,Delightful Meadow Home,12/8/1992,,9,Hike into the expanse of wilderness with Bob Ross and happen upon a quaint little home sitting among softly blowing meadow grasses.
26,3,First Snow,12/15/1992,,9,"Follow Bob Ross into a lovely mountain setting with magnificent evergreens, where the first touches of snow appear in the valley."
26,4,Lake in the Valley,12/22/1992,9.2,6,Discover a beautiful quiet lake hidden deep in the wilderness - and just beyond a glorious snow-covered mountain. - from the magical brushes of Bob Ross.
26,5,A Trace of Spring,12/29/1992,8.5,6,"Stroll along a wonderful hustling, bubbling river with Bob Ross and enjoy the emergence of springtime blossoms on spectacular trees."
26,6,An Arctic Winter Day,1/5/1993,9,9,Travel to the coldest place imaginable with Bob Ross and find a lonely cabin comfortably nestled on the edge of a glassy-smooth frozen pond.
26,7,Snow Birch,1/12/1993,9.2,10,"An incredibly unique Bob Ross painting -- delight in the effects of white and black gesso, discover a birch tree forest perfectly mirrored in the cold stillness of winter."
26,8,Early Autumn,1/19/1993,8.7,6,Follow along with the brushes of Bob Ross and step into a beautiful mountain oval - experience the first signs of autumn.
26,9,Tranquil Wooded Stream,1/26/1993,9.4,6,"Bob Ross takes you to a lovely spot deep in the woods where the seclusion, silence and beauty offer serenity to the soul."
26,10,Purple Mountain Range,2/2/1993,,6,Take a nice walk with Bob Ross along a peacefully flowing river and enjoy a view of gorgeous amethyst mountains and stately trees in the distance.
26,11,Storm's a Comin',2/9/1993,8.9,7,Join artist Bob Ross under turbulent skies as the windy waves rush to crash upon the rocks - all within a pleasing oval shape.
26,12,Sunset Aglow,2/16/1993,8.1,8,"Find yourself in a gorgeous late-afternoon mountain masterpiece by Bob Ross -- breathtaking purples skies, defined evergreens and smooth lake."
26,13,Evening at the Falls,2/23/1993,9,8,Sneak away into the cold shadows with Bob Ross and enjoy the beauty of a winter night at the foot of a large fierce waterfall.
27,1,Twilight Beauty,3/2/1993,,8,Stand back in the shadows with Bob Ross as the last rays of sunshine sparkle on all they touch in this lovely waterside oval on black canvas.
27,2,Angler's Haven,3/9/1993,9.2,8,"Visit a lovely mountain setting with Bob Ross, complete with leafy trees and evergreens, and step into a secluded fishing spot just perfect for casting a line."
27,3,Rustic Winter Woods,3/16/1993,8.3,10,Hike into the midst of a snow-covered forest with Bob Ross and enjoy the beauty of leafless trees in slumber and texture you can almost feel.
27,4,Wilderness Falls,3/23/1993,,10,Relish the tranquility of valley waters gently falling into a quiet summer mere - smooth cliffs and trees frame this Bob Ross wonderland.
27,5,Winter at the Farm,3/30/1993,7.5,8,Venture into the heart of Americana with Bob Ross and discover the serenity of a snow-covered farmhouse and barn on a cold January day.
27,6,Daisies at Dawn,4/6/1993,,8,A perfect oval composition! Come along with Bob Ross and see a secluded cottage with wild daisies and birch trees near a small woodland pond.
27,7,A Spectacular View,4/13/1993,8.2,6,Grandest of mountains overlooking an incredibly breathtaking waterfall ... a Bob Ross painting you must see to believe!
27,8,Daybreak,4/20/1993,,6,Join television artist Bob Ross and take a peek through the fog of a snowy morning as the awakening sun enters into a new day.
27,9,Island Paradise,4/27/1993,8.8,6,"Travel to the tropics with Bob Ross, stroll along the palm tree shores and drink in the soul-cleansing beauty of the sea. An oval masterpiece you'll enjoy."
27,10,Sunlight in the Shadows,5/4/1993,,6,Enjoy guest artist Dana Jester and his dark soft forest; discover the brilliance of the sun's glow bouncing off a quiet stream and majestic oaks.
27,11,Splendor of a Snowy Winter,5/11/1993,8.8,9,Experience the serenity and silence of a fresh undisturbed snowfall with Bob Ross when he takes you to a lovely cabin deep in northern country.
27,12,Forest River,5/18/1993,,9,"Bob Ross travels with his paint brushes into the density of an evening grove and discovers the beauty of a gentle, hushed rippling river."
27,13,Golden Glow of Morning,5/20/1993,9.1,7,"Take a stroll into the woods with Bob Ross and experience the reflections of a jeweled sun bursting into the soft, vibrant day."
28,1,Fisherman's Trail,5/25/1993,8.7,11,Fantastic faux wood grain. Hike into the wilderness with Bob Ross and discover a well worn path leading back to his favorite fishing spot.
28,2,A Warm Winter,6/1/1993,8,10,"Travel into the unknown with Bob Ross and discover the beauty of a lovely cabin, fresh fallen snow and warm, colorful skies in an oval."
28,3,Under Pastel Skies,6/8/1993,8.5,6,"Look out over the valley lake with Bob Ross and view truly majestic mountains and evergreens under the calm of soft, muted skies."
28,4,Golden Rays of Sunlight,6/15/1993,9.6,7,"Paint with the Bob Ross gesso paints, white, black, and grey, building a grey-scale forest scene."
28,5,The Magic of Fall,6/22/1993,,7,Walk along an old fence into the autumn country with Bob Ross and rest under the golden branches of a majestic shade tree.
28,6,Glacier Lake,6/29/1993,8.1,7,"Bob Ross paints a sweeping panorama of Alaskan beauty, with a massive, glacial mountain, sheer drops, dramatic shadows, and softly blended snow. A distant waterfall, evergreens, and lake-side, misty reflections capture a diverse landscape."
28,7,The Old Weathered Barn,7/6/1993,,7,"Explore the back woods with Bob Ross and happen upon an old, forgotten shanty hidden away in the densest of undergrowth."
28,8,Deep Forest Falls,7/13/1993,8.6,7,Capture an oval vision of tranquility in the forest with Bob Ross; discover a happy waterfall as it empties into a shallow stony stream.
28,9,Winter's Grace,7/20/1993,7.9,10,"Enter into the realm of the far north with Bob Ross and view first-hand the glory of a cold, cold snow-blanketed wintertime landscape scene."
28,10,Splendor of Autumn,7/27/1993,,10,"Experience the wonder of a late summer's day with Bob Ross where shades of lavender and golden, warm fall colors unite in an array of fabulous beauty."
28,11,Tranquil Seas,8/3/1993,8.2,10,Stroll along the beach at sunset with Bob Ross and feel the gentle breezes blow as the waves softly kiss the shore in this oval masterpiece.
28,12,Mountain Serenity,8/10/1993,8.4,10,Look into the distance with Bob Ross and experience the peace and quiet of a stoic mountain overlooking a smooth-as-glass wilderness lake.
28,13,Home Before Nightfall,8/17/1993,9,8,"In this season finale, Bob Ross will relax you as day's end casts a bluish twilight under a hint of moon glow. Stunning, orange foliage keeps watch over a lone cabin with a warm, welcoming glow."
29,1,Island in the Wilderness,8/24/1993,9.3,15,Take a walk with Bob Ross down a little lakeside path in a secluded place; you'll delight in the discovery of a small uninhabited island.
29,2,Autumn Oval,8/31/1993,9,8,Step into an oval classic with Bob Ross and get inspired by the gorgeous browns and oranges of undoubtedly the most beautiful season of all.
29,3,Seasonal Progression,9/7/1993,8.9,7,"An interesting way to frame two pictures! Bob Ross paints a mountain landscape from luscious summer to beautiful winter, both on one canvas."
29,4,Light at the Summit,9/14/1993,8.6,8,Capture a vision of glory with Bob Ross as you view the brilliance of afternoon sunlight peeking over a distant mountain top.
29,5,Countryside Barn,9/21/1993,8.3,6,Take a trail through the meadow with Bob Ross and enjoy magnificent warmth and beauty of the sunlight's glory as it rests gently upon an old barn.
29,6,Mountain Lake Falls,9/28/1993,8.5,13,Guest artist Steve Ross invites you to experience the refreshing beauty of a highland lake and its gentle splashing waterfall.
29,7,Cypress Creek,10/5/1993,9.3,6,Take a stroll with Bob Ross deep into the swamp and breathe in the fragrances of damp earth and moss-filled trees on a rill bank.
29,8,Trapper's Cabin,10/12/1993,8.4,7,Hike into the mountains with Bob Ross and stumble upon a cozy well-worn shack amidst the solitude of the wilderness.
29,9,Storm on the Horizon,10/19/1993,8.7,6,"Visit this gusty, sandy beach with Bob Ross and see how the approaching menacing clouds hug the great sea and sky ahead."
29,10,Pot o' Posies,10/26/1993,8.3,7,Follow guest artist Annette Kowalski as she creates a beautiful hanging clay pot full of leaves and flowers using the Bob Ross painting method.
29,11,A Perfect Winter Day,11/2/1993,8.6,8,Travel with Bob Ross to the mountains of the north and marvel at the sight of a quaint cabin nestled into a lovely winter landscape.
29,12,Aurora's Dance,11/9/1993,7.9,7,"Join Bob Ross and experience the amazing beauty of the 'northern lights' phenomenon as they dance across the dark, dark sky - this time in an oval!"
29,13,Woodman's Retreat,11/16/1993,8.3,6,"Explore the gorgeous mountain countryside with Bob Ross, and learn to paint a perfectly realistic-looking woodgrain background so simply!"
30,1,Babbling Brook,11/23/1993,9.2,8,"Join Bob Ross and experience the magic of early morning in an oval, as gentle trickles and splashes of a happy stream pierce the silence."
